anio;mes;provincia;canton;producto;presentacion;tipo;precio_prom_usd;precio_prom_usd_kg
2012;Agosto;Manabi;Flavio Alfaro ;Cacao Seco Mezclado;Quintal de 100,00 libras;Venta;96;2,12
2012;Agosto;Manabi;Flavio Alfaro ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;37;0,82
2012;Agosto;Manabi;Flavio Alfaro ;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;34,75;0,77
2012;Agosto;Manabi;Flavio Alfaro ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;95;2,09
2012;Agosto;Manabi;Flavio Alfaro ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;99;2,18
2013;Febrero;Manabi;Bolivar;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;38,5;0,85
2013;Febrero;Manabi;Bolivar;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;99;2,18
2013;Febrero;Manabi;Chone ;Cacao Seco Mezclado;Quintal de 100,00 libras;Compra;83;1,83
2013;Febrero;Manabi;Chone ;Cacao Seco Mezclado;Quintal de 100,00 libras;Venta;89,5;1,97
2013;Febrero;Manabi;Chone ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;32;0,71
2013;Febrero;Manabi;Chone ;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;32;0,71
2013;Febrero;Manabi;Chone ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;90;1,98
2013;Junio;Manabi;Portoviejo ;Cacao Seco Mezclado;Quintal de 100,00 libras;Venta;80;1,76
2013;Junio;Manabi;Portoviejo ;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;35;0,77
2013;Julio;Manabi;Chone ;Cacao Seco Mezclado;Quintal de 100,00 libras;Compra;58,5;1,29
2013;Julio;Manabi;Chone ;Cacao Seco Mezclado;Quintal de 100,00 libras;Venta;88;1,94
2013;Julio;Manabi;Chone ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;32;0,71
2013;Julio;Manabi;Chone ;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;34;0,75
2013;Julio;Manabi;Chone ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;95,5;2,1
2013;Julio;Manabi;Flavio Alfaro ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;60;1,32
2013;Julio;Manabi;Flavio Alfaro ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;98;2,16
2013;Julio;Manabi;Portoviejo ;Cacao Seco Mezclado;Quintal de 100,00 libras;Compra;75;1,65
2013;Julio;Manabi;Portoviejo ;Cacao Seco Mezclado;Quintal de 100,00 libras;Venta;84,5;1,86
2013;Julio;Manabi;Portoviejo ;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;33;0,73
2013;Agosto;Manabi;Bolivar;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;41,4;0,91
2013;Agosto;Manabi;Bolivar;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;98;2,16
2013;Agosto;Manabi;Bolivar;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;111,6;2,46
2013;Agosto;Manabi;Chone ;Cacao CCN 51 Seco;Quintal de 100,00 libras;Venta;97;2,14
2013;Agosto;Manabi;Chone ;Cacao Seco Mezclado;Quintal de 100,00 libras;Venta;80;1,76
2013;Agosto;Manabi;Chone ;Cacao en Baba CCN 51;Quintal de 100,00 libras;Compra;35,5;0,78
2013;Agosto;Manabi;Chone ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;35,5;0,78
2013;Agosto;Manabi;Chone ;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;24;0,53
2013;Agosto;Manabi;Chone ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;102;2,25
2013;Agosto;Manabi;Portoviejo ;Cacao Seco Mezclado;Quintal de 100,00 libras;Compra;75;1,65
2013;Agosto;Manabi;Portoviejo ;Cacao Seco Mezclado;Quintal de 100,00 libras;Venta;89;1,96
2013;Agosto;Manabi;Portoviejo ;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;35;0,77
2013;Septiembre;Manabi;Bolivar;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;40,5;0,89
2013;Septiembre;Manabi;Bolivar;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;100;2,2
2013;Septiembre;Manabi;Bolivar;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;106;2,34
2013;Septiembre;Manabi;Chone ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;42;0,93
2013;Septiembre;Manabi;Chone ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;80;1,76
2013;Septiembre;Manabi;Chone ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;106;2,34
2013;Septiembre;Manabi;Flavio Alfaro ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;37;0,82
2013;Septiembre;Manabi;Flavio Alfaro ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;100;2,2
2013;Septiembre;Manabi;Flavio Alfaro ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;103;2,27
2013;Septiembre;Manabi;Portoviejo ;Cacao Seco Mezclado;Quintal de 100,00 libras;Compra;75;1,65
2013;Septiembre;Manabi;Portoviejo ;Cacao Seco Mezclado;Quintal de 100,00 libras;Venta;90;1,98
2013;Septiembre;Manabi;Portoviejo ;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;35;0,77
2013;Octubre;Manabi;Bolivar;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;40,5;0,89
2013;Octubre;Manabi;Bolivar;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;104;2,29
2013;Octubre;Manabi;Bolivar;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;110;2,42
2013;Octubre;Manabi;Chone ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;41,5;0,91
2013;Octubre;Manabi;Chone ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;101;2,23
2013;Octubre;Manabi;Chone ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;110;2,42
2013;Octubre;Manabi;Flavio Alfaro ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;104,5;2,3
2013;Octubre;Manabi;Flavio Alfaro ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;111;2,45
2013;Octubre;Manabi;Portoviejo ;Cacao Seco Mezclado;Quintal de 100,00 libras;Compra;85;1,87
2013;Octubre;Manabi;Portoviejo ;Cacao Seco Mezclado;Quintal de 100,00 libras;Venta;95;2,09
2013;Octubre;Manabi;Portoviejo ;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;40;0,88
2013;Noviembre;Manabi;Bolivar;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;45,67;1,01
2013;Noviembre;Manabi;Bolivar;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;108;2,38
2013;Noviembre;Manabi;Bolivar;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;115;2,53
2013;Noviembre;Manabi;Chone ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;44;0,97
2013;Noviembre;Manabi;Chone ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;101;2,23
2013;Noviembre;Manabi;Chone ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;110;2,42
2013;Noviembre;Manabi;Flavio Alfaro ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;40;0,88
2013;Noviembre;Manabi;Flavio Alfaro ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;103,5;2,28
2013;Noviembre;Manabi;Flavio Alfaro ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;110;2,42
2013;Noviembre;Manabi;Portoviejo ;Cacao Seco Mezclado;Quintal de 100,00 libras;Compra;87,5;1,93
2013;Noviembre;Manabi;Portoviejo ;Cacao Seco Mezclado;Quintal de 100,00 libras;Venta;97,5;2,15
2013;Noviembre;Manabi;Portoviejo ;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;42,5;0,94
2013;Diciembre;Manabi;Flavio Alfaro ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;39;0,86
2013;Diciembre;Manabi;Flavio Alfaro ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;104;2,29
2013;Diciembre;Manabi;Flavio Alfaro ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;108;2,38
2014;Enero;Manabi;Bolivar;Cacao Seco Mezclado;Quintal de 100,00 libras;Compra;104;2,29
2014;Enero;Manabi;Bolivar;Cacao Seco Mezclado;Quintal de 100,00 libras;Venta;110;2,42
2014;Enero;Manabi;Bolivar;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;50;1,1
2014;Enero;Manabi;Bolivar;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;112;2,47
2014;Enero;Manabi;Bolivar;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;143,09;3,15
2014;Enero;Manabi;Chone ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;43;0,95
2014;Enero;Manabi;Chone ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;105;2,31
2014;Enero;Manabi;Chone ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;113;2,49
2014;Enero;Manabi;Flavio Alfaro ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;105;2,31
2014;Enero;Manabi;Portoviejo ;Cacao Seco Mezclado;Quintal de 100,00 libras;Compra;85;1,87
2014;Enero;Manabi;Portoviejo ;Cacao Seco Mezclado;Quintal de 100,00 libras;Venta;95;2,09
2014;Enero;Manabi;Portoviejo ;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;40;0,88
2014;Febrero;Manabi;Portoviejo ;Cacao Seco Mezclado;Quintal de 100,00 libras;Compra;95;2,09
2014;Febrero;Manabi;Portoviejo ;Cacao Seco Mezclado;Quintal de 100,00 libras;Venta;110;2,42
2014;Febrero;Manabi;Portoviejo ;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;45;0,99
2014;Marzo;Manabi;Chone ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;45;0,99
2014;Marzo;Manabi;Chone ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;115;2,53
2014;Marzo;Manabi;Chone ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;130;2,87
2014;Marzo;Manabi;Flavio Alfaro ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;40;0,88
2014;Marzo;Manabi;Flavio Alfaro ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;116;2,56
2014;Marzo;Manabi;Flavio Alfaro ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;122;2,69
2014;Abril;Manabi;Bolivar;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;50,5;1,11
2014;Abril;Manabi;Bolivar;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;125;2,76
2014;Abril;Manabi;Bolivar;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;153;3,37
2014;Abril;Manabi;Flavio Alfaro ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;45;0,99
2014;Abril;Manabi;Flavio Alfaro ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;118;2,6
2014;Abril;Manabi;Flavio Alfaro ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;125;2,76
2014;Abril;Manabi;Portoviejo ;Cacao Seco Mezclado;Quintal de 100,00 libras;Compra;100;2,2
2014;Abril;Manabi;Portoviejo ;Cacao Seco Mezclado;Quintal de 100,00 libras;Venta;110;2,42
2014;Abril;Manabi;Portoviejo ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;110;2,42
2014;Abril;Manabi;Portoviejo ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;120;2,64
2014;Mayo;Manabi;Bolivar;Cacao Seco Mezclado;Quintal de 100,00 libras;Compra;112;2,47
2014;Mayo;Manabi;Bolivar;Cacao Seco Mezclado;Quintal de 100,00 libras;Venta;119;2,62
2014;Mayo;Manabi;Bolivar;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;47,5;1,05
2014;Mayo;Manabi;Bolivar;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;125;2,76
2014;Mayo;Manabi;Bolivar;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;149,17;3,29
2014;Mayo;Manabi;Chone ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;44,5;0,98
